shop_id,shop_profile
SHOP087,1
SHOP087,1
SHOP087,1
SHOP087,1
SHOP087,1
SHOP087,1
SHOP087,1
SHOP087,1
SHOP087,1
SHOP087,1
SHOP023,1
SHOP023,1
SHOP023,1
SHOP023,1
SHOP023,1
SHOP023,1
SHOP023,1
SHOP023,1
SHOP023,1
SHOP023,1
SHOP023,1
SHOP023,1
SHOP023,1
SHOP023,1
SHOP023,1
SHOP097,1
SHOP023,1
SHOP097,1
SHOP097,1
SHOP097,1
SHOP023,1
SHOP023,1
SHOP023,1
SHOP097,1
SHOP097,1
SHOP023,1
SHOP023,1
SHOP097,1
SHOP023,1
SHOP023,1
SHOP097,1
SHOP097,1
SHOP023,1
SHOP023,1
SHOP097,1
SHOP023,1
SHOP097,2
SHOP097,2
SHOP023,0
SHOP097,2
SHOP097,2
SHOP097,2
SHOP061,2
SHOP097,2
SHOP097,2
SHOP097,2
SHOP061,2
SHOP097,2
SHOP097,2
SHOP061,2
SHOP097,2
SHOP097,2
SHOP061,2
SHOP061,2
SHOP061,2
SHOP061,2
SHOP061,2
SHOP061,2
SHOP061,2
SHOP080,0
SHOP080,0
SHOP080,0
SHOP080,0
SHOP080,0
SHOP080,0
SHOP080,0
SHOP080,0
SHOP080,0
SHOP080,0
SHOP080,0
SHOP080,0
SHOP080,0
SHOP080,0
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP096,1
SHOP107,1
SHOP107,1
SHOP107,1
SHOP107,1
SHOP044,2
SHOP044,2
SHOP044,2
SHOP044,2
SHOP044,2
SHOP044,2
SHOP044,2
SHOP044,2
SHOP044,2
SHOP044,2
SHOP044,2
SHOP107,1
SHOP107,1
SHOP107,1
SHOP107,1
SHOP044,2
SHOP107,1
SHOP107,1
SHOP044,2
SHOP107,1
SHOP107,1
SHOP044,2
SHOP044,2
SHOP107,1
SHOP107,1
SHOP044,2
SHOP107,1
SHOP107,1
SHOP046,2
SHOP046,2
SHOP046,2
SHOP046,2
SHOP046,2
SHOP046,2
SHOP046,2
SHOP046,2
SHOP046,2
SHOP046,2
SHOP046,2
SHOP046,2
SHOP046,2
SHOP046,2
SHOP046,2
SHOP046,2
SHOP076,2
SHOP076,2
SHOP076,2
SHOP076,2
SHOP076,2
SHOP076,2
SHOP076,2
SHOP076,2
SHOP076,2
SHOP076,2
SHOP076,2
SHOP024,2
SHOP024,2
SHOP024,2
SHOP024,2
SHOP024,2
SHOP024,2
SHOP024,2
SHOP024,2
SHOP024,2
SHOP024,2
SHOP024,2
SHOP024,2
SHOP024,2
SHOP024,2
SHOP024,2
SHOP024,2
SHOP024,2
SHOP024,2
SHOP024,2
SHOP024,2
SHOP024,2
SHOP024,2
SHOP024,2
SHOP024,2
SHOP074,0
SHOP074,0
SHOP074,0
SHOP074,0
SHOP074,0
SHOP074,0
SHOP074,2
SHOP074,2
SHOP074,2
SHOP074,2
SHOP074,2
SHOP074,2
SHOP074,2
SHOP074,2
SHOP074,2
SHOP074,2
SHOP074,2
SHOP074,0
SHOP074,0
SHOP074,0
SHOP074,0
SHOP074,0
SHOP074,0
SHOP074,0
SHOP074,0
SHOP074,0
SHOP108,2
SHOP108,2
SHOP108,2
SHOP108,2
SHOP108,2
SHOP108,2
SHOP108,2
SHOP108,2
SHOP108,2
SHOP108,2
SHOP108,2
SHOP108,2
SHOP108,2
SHOP108,2
SHOP108,2
SHOP108,2
SHOP108,2
SHOP108,2
SHOP108,2
SHOP108,2
SHOP108,2
SHOP038,1
SHOP108,2
SHOP108,2
SHOP108,2
SHOP108,2
SHOP038,1
SHOP038,1
SHOP038,1
SHOP038,1
SHOP038,1
SHOP038,1
SHOP038,1
SHOP038,1
SHOP038,1
SHOP038,1
SHOP038,1
SHOP038,1
SHOP038,1
SHOP019,1
SHOP019,1
SHOP019,1
SHOP019,1
SHOP019,1
SHOP019,1
SHOP019,1
SHOP019,1
SHOP019,1
SHOP019,1
SHOP019,1
SHOP019,1
SHOP019,1
SHOP019,1
SHOP019,1
